Localidad;Zona;Precio Venta;Valor Administración;Estrato;No. Parqueaderos;M2;No. Pisos;No. Baños
Antonio Nariño;Zona Occidente;575000000;0;4;2;127;4;2
Barrios Unidos;Zona Occidente;575000000;0;4;2;127;4;2
Bosa;Zona Sur;735000000;0;3;2;441;3;6
La Candelaria;Zona Centro;337500000;185000;3;1;63,5;5;2
Chapinero;Zona Chapinero;650000000;293000;4;2;109;3;2
Ciudad Bolívar;Zona Sur;735000000;0;3;2;441;3;6
Engativá;Zona Occidente;575000000;0;4;2;127;4;2
Fontibón;Zona Occidente;575000000;0;4;2;127;4;2
Kennedy;Zona Occidente;575000000;0;4;2;127;4;2
Los Mártires;Zona Centro;337500000;185000;3;1;63,5;5;2
Puente Aranda;Zona Occidente;575000000;0;4;2;127;4;2
Rafael Uribe Uribe;Zona Sur;735000000;0;3;2;441;3;6
San Cristóbal;Zona Sur;735000000;0;3;2;441;3;6
Santa Fé;Zona Centro;337500000;185000;3;1;63,5;5;2
Suba;Zona Noroccidente;876519000;125000;4;2;129;3;3
Teusaquillo;Zona Occidente;575000000;0;4;2;127;4;2
Tunjuelito;Zona Sur;735000000;0;3;2;441;3;6
Usaquén;Zona Norte;820000000;484000;5;2;104;4;2
Usme;Zona Sur;735000000;0;3;2;441;3;6
